KATEGORI,NAMA INSTANSI,PROVINSI,KABUPATEN,KECAMATAN,TOTAL BELANJA,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,VISIT/CANVAS,KETERANGAN,ALAMAT,HUT
SD NEGERI,SD NEGERI 3 PANGGANG,DI YOGYAKARTA,BANTUL,BAMBANGLIPURO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI BONDALEM,DI YOGYAKARTA,BANTUL,BAMBANGLIPURO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI GROGOL,DI YOGYAKARTA,BANTUL,BAMBANGLIPURO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI KALIGONDANG,DI YOGYAKARTA,BANTUL,BAMBANGLIPURO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI KALIGATUK,DI YOGYAKARTA,BANTUL,PIYUNGAN,3.700.000,3.700.000,0,0,0,0,0,0,0,0,0,30/05/2023,,,
SD NEGERI,SD NEGERI KEMBANGAN,DI YOGYAKARTA,BANTUL,BAMBANGLIPURO,0,0,0,0,0,0,0,0,0,0,0,30/05/2023,,,
SD NEGERI,SD NEGERI PLEBENGAN,DI YOGYAKARTA,BANTUL,BAMBANGLIPURO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI SRIBIT,DI YOGYAKARTA,BANTUL,BAMBANGLIPURO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI TERBAN,DI YOGYAKARTA,BANTUL,BAMBANGLIPURO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI TULASAN,DI YOGYAKARTA,BANTUL,BAMBANGLIPURO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD PANGGANG,DI YOGYAKARTA,BANTUL,BAMBANGLIPURO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 1 JAMBIDAN,DI YOGYAKARTA,BANTUL,BANGUNTAPAN,0,0,0,0,0,0,0,0,0,0,0,02/02/2023,,,
SD NEGERI,SD NEGERI 1 SALAKAN,DI YOGYAKARTA,BANTUL,BANGUNTAPAN,0,0,0,0,0,0,0,0,0,0,0,01/02/2023,,,
SD NEGERI,SD NEGERI 1 SEKARSULI,DI YOGYAKARTA,BANTUL,BANGUNTAPAN,0,0,0,0,0,0,0,0,0,0,0,02/02/2023,,,
SD NEGERI,SD NEGERI 2 JAMBIDAN,DI YOGYAKARTA,BANTUL,BANGUNTAPAN,0,0,0,0,0,0,0,0,0,0,0,02/02/2023,,,
SD NEGERI,SD NEGERI 2 SALAKAN,DI YOGYAKARTA,BANTUL,BANGUNTAPAN,0,0,0,0,0,0,0,0,0,0,0,01/02/2023,,,
SD NEGERI,SD NEGERI BANGUNTAPAN,DI YOGYAKARTA,BANTUL,BANGUNTAPAN,6.000.000,0,0,0,0,0,0,6.000.000,0,0,0,,,,
SD NEGERI,SD NEGERI BATURETNO,DI YOGYAKARTA,BANTUL,BANGUNTAPAN,1.100.000,0,0,0,0,0,0,1.100.000,0,0,0,01/12/2021,,,
SD NEGERI,SD NEGERI GROJOGAN,DI YOGYAKARTA,BANTUL,BANGUNTAPAN,0,0,0,0,0,0,0,0,0,0,0,02/02/2023,,,
SD NEGERI,SD NEGERI JARANAN,DI YOGYAKARTA,BANTUL,BANGUNTAPAN,0,0,0,0,0,0,0,0,0,0,0,13/02/2023,,,
