nama_distributor,tipe_pajak
ACER SERVICE CENTER/HSNI YOGYAKARTA,NON PPN
ADINDA COMPUTER,NON PPN
AGRES INFO TEKNOLOGI,PPN
AMIN HIDAYAT,NON PPN
AMIR HIDAYAT,NON PPN
ANDALAS,NON PPN
ANUGRAH JAYA MANDIRI,NON PPN
ARBI DAFFA FIRDAUS,NON PPN
ASIA GLOBAL SUKSESINDO,PPN
ASIA RAYA,NON PPN
ASUS,NON PPN
ASUS SERVICE CENTER,NON PPN
AXIOO CARE PLATINUM,NON PPN
BENQ INDONESIA,PPN
BINTANG MAS REZEKI NUSANTARA,PPN
BIRRU KOMPUTER,NON PPN
BROTHER,NON PPN
CAHAYA MEGAH DISTRIBUSI,NON PPN
CHANNEL,NON PPN
CHIPS SMART,NON PPN
CJS COMPUTER,NON PPN
CONECT MEDIA NETWORK,NON PPN
CROWN,NON PPN
CV ADATA XPG YOGYAKARTA,PPN
CV ALAMTARA INDONESIA,PPN
CV ASTECH MAJU PERSADA,PPN
CV ATLANTA,PPN
CV AUDIO DIGITAL JAYA,PPN
CV BERKAH LAPAK UTAMA,NON PPN
CV BUMINET PRAKARSA,PPN
CV CAHAYA SINAR MULIA,PPN
CV CAROLIN FURNINDO,PPN
CV CENTURIS DIGITAL MEDIA,PPN
CV COMPUTA,PPN
CV CONCEPT SHOP,PPN
CV DB KLIK,PPN
CV DUTA SARANA SEJAHTERA,PPN
CV FAHANA CITRA,PPN
CV FAJAR AIRCON CENTRE,PPN
CV FALAH MANDIRI,PPN
CV GLOBAL SOLUSI,PPN
CV GOLDEN SOUND ELECTRONIC,PPN
CV HARTONO MITRA AUDIO,PPN
CV HARTONO SOLUSI AUDIO,PPN
CV JABA MITRA NUSANTARA,PPN
CV JAYA MANDIRI TECHNOLOGY,PPN
CV JAYA SEJAHTERA TEKNO,PPN
CV JAYA UTAMA SUKSES,PPN
CV JAYANADA,PPN
CV JOGLOSEMAR MEDIA TECHNOLOGY,PPN
CV KANA,PPN
CV M21 ARTHA SEJAHTERA,PPN
CV MAHAKARYA SENTOSA,PPN
CV MEGA TRIKARSA INDOTAMA,PPN
CV MENTARI JAYA MAKMUR,NON PPN
CV MITRA INDEXINDO PRATAMA,NON PPN
CV MITRA NUSANTARA KOMPUTER,PPN
CV MULTI KARYA SUKSES,PPN
CV OKEY MEGAH PERKASA,NON PPN
CV PLATINUM COMPUTAMA,PPN
CV PLATINUM COMPUTINDO,PPN
CV POINT PLUS,PPN
CV RAHARJA SEJAHTERA,PPN
CV RAJAWALI BINA MAJU,PPN
CV SARANA CIPTA KOMPUTER,PPN
CV SARANA DUTA SOLUSINDO,PPN
CV SELALU ADA SOLUSI,PPN
CV SEMESTA JAYA COMPUTINDO,PPN
CV SEMITRA ADA SOLUSI,PPN
CV SINAR ABADI MULTIMEDIA,PPN
CV STAR COMPUTER,NON PPN
CV STAR MEDIA COMPUTAMA,PPN
CV SUBUR JAYA PERKASA,PPN
CV SUKSES SEJATI COMPUTAMA,PPN
CV SUMBER CAHAYA,PPN
CV SURYA ABADI,PPN
CV SURYA GEMILANG,PPN
CV SURYA MANDIRI PURNAMASIDI,PPN
CV TOP DISTRIBUSI,PPN
CV TUJUH ENAM KOMPUTER,PPN
CV TUNAS UTAMA,PPN
CV TUNGGAL OPTI PERSADA,PPN
CV VICMIC INDONESIA,PPN
CV X-COM MEDIA,NON PPN
CV YESTOYA ABADI,PPN
CV. VE NUSANTARA,NON PPN
DAN'S CMPUTER,NON PPN
DAZZLE,NON PPN
DIGISOFT COMPUTER POINT,NON PPN
DISCOUNT NOTEBOOK,NON PPN
DOT PRINT,NON PPN
DUNIA DIGITAL,NON PPN
DUNIA DIGITAL JAYA,NON PPN
EVERTECH,NON PPN
F&M COMPUTER,NON PPN
FANTECH,PPN
FITRIANINGSIH,NON PPN
FIXPRINT,NON PPN
FOXHOUND TEKNOLOGI NUSANTARA,PPN
GALAKSI INTI TEKNOLOGI,NON PPN
IMPERION COMPUTER,NON PPN
INDOLISTRIK,NON PPN
INDONESIA SPAREPART NOTEBOOK,NON PPN
JAYA BERSAMA,NON PPN
JOGJA FIBER OPTIK,NON PPN
JOGJA ROBOTIKA,NON PPN
JOY PRINT,NON PPN
JUAL ARDUINO,NON PPN
KENZO KOMPUTER,NON PPN
KHATULISTIWA,NON PPN
M FEBRIHONO,NON PPN
MAHKOTA COMPUTER,NON PPN
MITRA NUSANTARA KOMPUTER,PPN
MSI INDONESIA,NON PPN
MULTI SARANA HANDAYANI,NON PPN
MULTIPRO.ID,PPN
NANDITA PUTRI,NON PPN
OMEGA,NON PPN
PLASMA,NON PPN
PT 3 POWER,PPN
PT ABDITAMA GRAHA INTERNUSA,PPN
PT ACER INDONESIA,PPN
PT ADAKOM INTERNATIONAL TECHNOLOGY,PPN
PT AGRES INFO TEKNOLOGI,PPN
PT AGRES SEMARANG TEKNOLOGI,PPN
PT AKAR DAYA,PPN
